"","id","X","Y","Z","x","y","u","v","L","a","b","h","c","R","G","B"
"1","Core1_0to5",19.3239348355541,16.4935293698214,4.18029648407744,0.483125417584932,0.412361319371826,11.0277336858063,4.51311675507691,47.6154380360382,4.86126272876847,11.3747082970038,1.16691599415741,12.3699581308927,124.124544589426,109.466937614584,93.662783781093
"2","Core1_0to5_duplicate",18.945234865222,16.156145573948,4.06966090140104,0.483654103052901,0.412451265553015,11.111810333634,4.54180316907009,47.1786839614379,4.90879047571013,11.4967134850581,1.16725540710852,12.5008257684018,123.115433595677,108.348142662395,92.3992702911639
"3","Core1_10toEND",21.095142954481,17.9575770713984,4.4046047635436,0.485422033148606,0.41322325196992,12.1499997797976,5.11892081814023,49.4446127507666,5.25516600126086,12.8006668154231,1.18123821475296,13.8374072940086,129.747824031285,113.732605605725,95.6349151608139
"4","Core1_5to10",19.2699408809564,16.420173823832,4.06719362341975,0.484689273274675,0.413010198987283,11.4449515043944,4.80157266730217,47.5209872479381,5.00821864577616,12.1065853070271,1.17855512223378,13.1015900485485,124.269425294984,109.124475878262,92.1674482655382
"5","Core2_0to5",30.1862140986127,25.9267590881586,6.5141294221764,0.481999211860392,0.413986245700186,12.2928037090695,5.82382360726444,57.9674647293896,4.97524415242784,13.557306978758,1.21907642463771,14.4413859062262,151.627471838319,135.602920689528,115.29441285414
"6","Core2_10to15",32.4022586561207,27.9885571221746,7.25762269794413,0.478980141832861,0.413735449813896,11.2638250102809,5.58606541359904,59.8783990644199,4.47576585301784,12.6711502978167,1.23125143517537,13.4383975920085,155.612509670677,140.931499851162,121.6686535554
"7","Core2_15to20",42.5882305082962,36.7836791942423,9.11682017964239,0.48128423320123,0.415687729309916,13.1305077607713,7.20114244664706,67.1144198873586,4.91364337580513,15.8144081234637,1.26954599822057,16.5601749845848,176.479342713219,159.615453597151,134.390735045192
"8","Core2_20to25",48.837454017253,42.2697165781731,10.4627331365204,0.480826034315639,0.416163794835597,13.4223922020004,7.72322440696319,71.0564796108624,4.8808841618625,16.6231282102611,1.28520290263092,17.3248786921091,187.352043052334,170.181748460116,143.089784178859
"9","Core2_25to30",47.4185079268738,41.0360689093288,10.1802694490926,0.480748028842856,0.416040278408651,13.2674079964277,7.57765263381362,70.2011856543005,4.849818760152,16.3605978903474,1.28261534582992,17.0642874253795,184.893849892318,167.908664621343,141.354138918479
"10","Core2_30to35",48.7393577240824,42.3125875270091,10.7106486294593,0.47895160555059,0.415797061704969,12.4660162726726,7.33828391464699,71.0859012483521,4.49938666497174,15.6278454375828,1.29046940224881,16.2626576358817,186.511585684326,170.559837953686,145.009470531568
"11","Core2_35toEND",48.6776608988607,42.3216111130998,10.8951984882137,0.477726226554928,0.415347475730074,11.9280852953527,7.01291455976891,71.0920914572859,4.31235076647429,14.8702965133888,1.2885410897073,15.4829612002748,186.018154721336,170.721730293341,146.442130869622
"12","Core2_5to10",31.2842511388899,26.9963595246534,6.96427833314432,0.479489682946325,0.413769721119825,11.3343256122692,5.57050370872434,58.9709574049871,4.52930870747875,12.7204143269648,1.22872763687278,13.5027248367614,153.31443801095,138.537017414454,119.290285659529
"13","DA0to20",8.52281545511026,7.09037958263429,1.75368559287588,0.490751081693004,0.408270185846322,10.3202538174418,2.87664799673009,32.0117811490122,5.47606871999565,9.18652406606362,1.03325087606492,10.6948376819137,86.1149605412963,71.5617390507326,60.9760500414197
"14","DA20to30",10.6401368205348,8.94304455202641,2.2781677743661,0.486709980661478,0.409080175789762,10.1388932163158,3.0781127824525,35.8744040773679,5.13374897183883,9.13946641263021,1.0590055830832,10.4826153613233,94.8984735497704,80.8253805553804,69.7992890695808
"15","DA30to40",24.5995208247402,20.8465130067508,5.06257127241016,0.487036234204777,0.412731909025551,13.853996945532,5.5070224200964,52.7811019720572,5.97738162584832,13.8014081908648,1.16208546389934,15.0402114064896,139.821643616763,121.577264401955,102.106853985704
"16","DA40to51",18.2498838074894,15.2406378515146,3.38071073228428,0.494962674797964,0.413347666000868,14.9845605201791,5.65678426472993,45.962039423038,6.71883162324422,15.240318012054,1.15556999402249,16.6556294234125,123.706438072225,103.980605918385,83.1638579390252
"17","DA51to57",27.1277359005527,22.419061761134,4.45054534171645,0.502390199066702,0.415188239164306,20.5645576005254,7.9931432128532,54.468841806491,8.72800372868127,21.1165408441135,1.17885553511163,22.8492088770922,150.186228827797,123.709952701997,93.3780787093493
